Rank | Ticker | Company Name                             | Market Cap   | Composite Score (Mansfield RS vs SPY)
=========================================================================================================
   1 | ALOT   | AstroNova, Inc.                          | $226.5M      | 97.1677
   2 | DFNS   | T3 Defense Inc.                          | N/A          | 97.1180
   3 | CORT   | Corcept Therapeutics Incorporated        | $12.67B      | 95.2050
   4 | BJRI   | BJ's Restaurants, Inc.                   | $1.41B       | 93.7888
   5 | BELFB  | Bel Fuse Inc.                            | $4.30B       | 92.0745
   6 | ARWR   | Arrowhead Pharmaceuticals, Inc.          | $12.53B      | 91.4783
   7 | AMAT   | Applied Materials, Inc.                  | $425.01B     | 91.3292
   8 | CIIT   | Tianci International, Inc.               | $3.4M        | 90.4845
   9 | ARTV   | Artiva Biotherapeutics, Inc.             | $574.0M      | 90.1366
  10 | AXGN   | Axogen, Inc.                             | $2.64B       | 90.0870
  11 | AEIS   | Advanced Energy Industries, Inc.         | $13.96B      | 89.6149
  12 | ALAB   | Astera Labs, Inc.                        | $55.54B      | 89.5404
  13 | ALKS   | Alkermes plc                             | $8.36B       | 89.4410
  14 | CNET   | ZW Data Action Technologies Inc.         | $4.8M        | 88.4969
  15 | CBRL   | Cracker Barrel Old Country Store, Inc.   | $1.32B       | 88.4224
  16 | ACMR   | ACM Research, Inc.                       | $5.96B       | 88.3478
  17 | AAOI   | Applied Optoelectronics, Inc.            | $13.10B      | 88.2981
  18 | AMD    | Advanced Micro Devices, Inc.             | $826.03B     | 88.1242
  19 | ARCB   | ArcBest Corporation                      | $3.26B       | 87.8509
  20 | AMCX   | AMC Global Media Inc.                    | $498.7M      | 87.5528
  21 | CHRN   | ChronoScale Holdings Corporation         | $3.22B       | 87.5528
  22 | BELFA  | Bel Fuse Inc.                            | $3.58B       | 87.3540
  23 | ADVB   | Advanced Biomed Inc.                     | $13.6M       | 86.3106
  24 | ABSI   | Absci Corporation                        | $1.59B       | 86.2112
  25 | BWFG   | Bankwell Financial Group, Inc.           | $539.4M      | 85.8634
  26 | AVTX   | Avalo Therapeutics, Inc.                 | $1.07B       | 85.7640
  27 | ALXO   | ALX Oncology Holdings Inc.               | $272.4M      | 85.4658
  28 | CROX   | Crocs, Inc.                              | $6.23B       | 85.4410
  29 | ANIK   | Anika Therapeutics Inc.                  | $287.3M      | 85.4161
  30 | CFBK   | CF Bankshares Inc.                       | $233.2M      | 85.3416
  31 | ACRS   | Aclaris Therapeutics, Inc.               | $871.4M      | 84.8447
  32 | BOTJ   | Bank of the James Financial Group, Inc.  | $126.0M      | 84.8199
  33 | CCG    | Cheche Group Inc.                        | $42.6M       | 84.6708
  34 | COAG   | Hemab Therapeutics Holdings, Inc.        | $2.50B       | 84.4472
